user_ID,Dominant_Topic_Keywords
user_0,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_10,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_100,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1000,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1001,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1002,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1003,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1004,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1005,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1006,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1007,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1008,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1009,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_101,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1010,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1011,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1012,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1013,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1014,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1015,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1016,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1017,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1018,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1019,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_102,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1020,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1021,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1022,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1023,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1024,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1025,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1026,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1027,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1028,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1029,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_103,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1030,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1031,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1032,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1033,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1034,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1035,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1036,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1037,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1038,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1039,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_104,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1040,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1041,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1042,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1043,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1044,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1045,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1046,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1047,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1048,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1049,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_105,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1050,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1051,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1052,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1053,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1054,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1055,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1056,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1057,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1058,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1059,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_106,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1060,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1061,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1062,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1063,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1064,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1065,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1066,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1067,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1068,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1069,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_107,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1070,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1071,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1072,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1073,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1074,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1075,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1076,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1077,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1078,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1079,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_108,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1080,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1081,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1082,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1083,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1084,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1085,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1086,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1087,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1088,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1089,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_109,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1090,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1091,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1092,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1093,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1094,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1095,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1096,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1097,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1098,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1099,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_11,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_110,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1100,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1101,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1102,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1103,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1104,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1105,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1106,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1107,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1108,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1109,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_111,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1110,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1111,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1112,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1113,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1114,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1115,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1116,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1117,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1118,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1119,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_112,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1120,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1121,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1122,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1123,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1124,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1125,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1126,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1127,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1128,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1129,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_113,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1130,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1131,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1132,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1133,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1134,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1135,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1136,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1137,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1138,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1139,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_114,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1140,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1141,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1142,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1143,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1144,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1145,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1146,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1147,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1148,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1149,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_115,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1150,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1151,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1152,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1153,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1154,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1155,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1156,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1157,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1158,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1159,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_116,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1161,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1162,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1163,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1164,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1165,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1166,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1167,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1168,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1169,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_117,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1170,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1171,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1172,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1173,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1174,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1175,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1176,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1177,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1178,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1179,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_118,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1180,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1181,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1182,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1183,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1184,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1185,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1186,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1187,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1188,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1189,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_119,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1190,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1191,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1192,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1193,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1194,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1195,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1196,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1197,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1198,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1199,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
